Date,Amount,Currency,Output currency,Daily rate,Output
2023-04-07,70,USD,EUR,,
2023-04-07,513,USD,EUR,,
2023-03-31,80,USD,EUR,,
2023-03-31,450,USD,EUR,,
2023-03-24,135,USD,EUR,,
2023-03-17,207,USD,EUR,,
2023-03-10,351,USD,EUR,,
2023-03-03,315,USD,EUR,,
2023-02-24,94.5,USD,EUR,,
2023-02-17,144,USD,EUR,,
2023-02-10,229.5,USD,EUR,,
2023-02-03,391.5,USD,EUR,,
2023-01-27,18,USD,EUR,,
2023-01-20,126,USD,EUR,,
2023-01-13,166.5,USD,EUR,,
2023-12-22,387.75,USD,EUR,,
2023-11-24,470.25,USD,EUR,,
2023-12-08,544.5,USD,EUR,,
2023-11-03,264,USD,EUR,,
2023-10-30,511.5,USD,EUR,,
2023-10-09,602.25,USD,EUR,,
2023-12-15,231,USD,EUR,,
2023-09-29,602.25,USD,EUR,,
2023-11-03,313.5,USD,EUR,,
2023-09-05,1113.75,USD,EUR,,
2023-12-01,387.75,USD,EUR,,
2023-11-20,404.25,USD,EUR,,
2023-10-20,330,USD,EUR,,
2023-11-17,120,USD,EUR,,
2023-10-06,185,USD,EUR,,
2023-09-22,1050,USD,EUR,,
2023-09-22,5,USD,EUR,,
2023-09-15,505,USD,EUR,,
2023-09-08,460,USD,EUR,,
2023-09-01,465,USD,EUR,,
2023-08-25,370,USD,EUR,,
2023-08-18,345,USD,EUR,,
2023-08-11,230,USD,EUR,,
2023-08-04,620,USD,EUR,,
2023-08-04,25,USD,EUR,,
2023-07-28,290,USD,EUR,,
2023-07-28,80,USD,EUR,,
2023-07-21,250,USD,EUR,,
2023-07-21,10,USD,EUR,,
2023-07-14,185,USD,EUR,,
2023-07-14,130,USD,EUR,,
2023-07-07,450,USD,EUR,,
2023-07-07,15,USD,EUR,,
2023-06-30,300,USD,EUR,,
2023-06-30,155,USD,EUR,,
2023-06-23,465,USD,EUR,,
2023-06-16,340,USD,EUR,,
2023-06-09,555,USD,EUR,,
2023-06-09,10,USD,EUR,,
2023-06-02,595,USD,EUR,,
2023-05-26,550,USD,EUR,,
2023-05-19,65,USD,EUR,,
2023-05-19,105,USD,EUR,,
2023-05-12,75,USD,EUR,,
2023-05-12,198,USD,EUR,,
2023-05-05,100,USD,EUR,,
2023-05-05,342,USD,EUR,,
2023-04-28,45,USD,EUR,,
2023-04-28,216,USD,EUR,,
2023-04-21,80,USD,EUR,,
2023-04-21,229.5,USD,EUR,,
2023-04-14,150,USD,EUR,,
2023-04-14,328.5,USD,EUR,,
